実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2011暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2011) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
1994/ 1- 3.,"425,124.3 ","242,777.8 ","238,696.1 ","202,101.3 ","24,842.4 ","60,025.5 ","3,808.5 ","70,584.9 ","44,414.2 ",-716.7 ,"-9,150.4 ","33,923.4 ","43,073.8 ","-11,461.8 ",,"19,874.3 ","444,998.6 ","4,091.9 ","14,298.9 ","10,207.0 ","449,090.5 ",,"443,858.2 ","330,416.5 ","113,558.0 ",,"126,390.7 ",,"421,479.9 ",,,
4- 6.,"423,053.3 ","243,981.6 ","239,859.9 ","203,056.2 ","26,021.0 ","59,815.9 ","-2,733.5 ","71,541.8 ","45,333.0 ",785.3 ,"-9,660.7 ","34,107.3 ","43,767.9 ","-12,031.1 ",,"19,239.7 ","442,293.0 ","3,807.5 ","14,215.1 ","10,407.6 ","446,100.4 ",,"441,938.5 ","325,870.0 ","116,379.3 ",,"128,006.4 ",,"424,773.3 ",,,
7- 9.,"427,848.1 ","245,595.9 ","241,455.6 ","204,427.1 ","28,366.1 ","59,719.6 ",-88.7 ,"72,019.8 ","43,682.1 ",975.1 ,"-10,343.9 ","34,735.6 ","45,079.6 ","-12,077.8 ",,"18,744.6 ","446,592.8 ","3,721.1 ","14,429.3 ","10,708.2 ","450,313.9 ",,"447,253.6 ","332,074.8 ","115,351.1 ",,"128,443.9 ",,"426,937.6 ",,,
10-12.,"426,084.1 ","245,469.7 ","241,287.3 ","204,091.9 ","27,078.9 ","60,856.7 ","-1,364.2 ","72,159.9 ","43,011.0 ","1,015.2 ","-10,601.3 ","34,897.7 ","45,498.9 ","-11,541.8 ",,"19,081.7 ","445,165.8 ","3,759.9 ","14,908.2 ","11,148.3 ","448,925.7 ",,"445,488.6 ","330,802.1 ","114,856.5 ",,"127,962.0 ",,"426,366.2 ",,,
1995/ 1- 3.,"430,980.6 ","247,743.6 ","243,498.9 ","206,081.2 ","26,096.3 ","62,540.7 ","2,259.1 ","73,636.2 ","41,095.6 ",-90.3 ,"-11,787.0 ","35,325.1 ","47,112.2 ","-10,513.6 ",,"19,550.8 ","450,531.4 ","3,916.5 ","15,339.9 ","11,423.4 ","454,447.9 ",,"451,370.1 ","337,656.3 ","113,731.9 ",,"127,218.2 ",,"428,445.1 ",,,
4- 6.,"435,477.9 ","249,925.8 ","245,611.4 ","207,982.9 ","25,299.7 ","64,942.2 ","1,062.5 ","73,962.4 ","42,827.8 ",258.2 ,"-12,579.4 ","35,877.0 ","48,456.3 ","-10,221.3 ",,"20,302.6 ","455,780.5 ","3,197.2 ","14,529.1 ","11,331.9 ","458,977.7 ",,"456,480.8 ","340,569.4 ","115,986.2 ",,"130,688.8 ",,"433,876.3 ",,,
